id	name	domain	category	rank_in_category	why_in_list	sign_in_url	task_flow_docs	doc_url_1	doc_url_2	doc_url_3
gmail	Gmail	mail.google.com	email_calendar	1	founder-named (sonny-wave-7-features.md, Skills); Chrome UX Report 2026-08: mail.google.com in the top 1,000 origins (github.com/zakird/crux-top-lists); Zapier app 'Gmail': popularity #2 of 9,716, zap_usage_count 224,534 (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 1 for google.com (list 38KVL, 2026-09-11; a domain shared across products, so not used to rank this row)	https://mail.google.com/	deep	https://support.google.com/mail/	https://support.google.com/mail/answer/56256?hl=en&ref_topic=7065107	https://support.google.com/mail/answer/6078445?hl=en&ref_topic=7065107
google_calendar	Google Calendar	calendar.google.com	email_calendar	2	Chrome UX Report 2026-08: calendar.google.com in the top 1,000 origins (github.com/zakird/crux-top-lists); Zapier app 'Google Calendar': popularity #11 of 9,716, zap_usage_count 91,971 (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 1 for google.com (list 38KVL, 2026-09-11; a domain shared across products, so not used to rank this row)	https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Fcalendar.google.com%2F	deep	https://support.google.com/calendar/	https://support.google.com/calendar/answer/37095?hl=en&ref_topic=10509740	https://support.google.com/calendar/answer/6110849?hl=en&ref_topic=10509740
outlook	Microsoft Outlook	outlook.office.com	email_calendar	3	founder-named (sonny-wave-7-features.md, Skills); Chrome UX Report 2026-08: outlook.live.com in the top 1,000 origins (github.com/zakird/crux-top-lists); Zapier app 'Microsoft Outlook': popularity #22 of 9,716, zap_usage_count 35,365 (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 20 for office.com (list 38KVL, 2026-09-11; a domain shared across products, so not used to rank this row)	https://outlook.office365.com	deep	https://support.microsoft.com/en-us/outlook/	https://support.microsoft.com/en-us/outlook/mail/manage-email-messages-by-using-rules-in-outlook	https://support.microsoft.com/en-us/outlook/create-modify-or-delete-a-meeting-request-or-appointment-in-outlook-on-the-web
outlook_calendar	Outlook Calendar	outlook.office.com	email_calendar	4	founder-named (sonny-wave-7-features.md, Skills); Chrome UX Report 2026-08: outlook.live.com in the top 1,000 origins (github.com/zakird/crux-top-lists); not listed on Zapier with a usage count (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 20 for office.com (list 38KVL, 2026-09-11; a domain shared across products, so not used to rank this row)	https://outlook.office365.com	deep	https://support.microsoft.com/en-us/outlook/	https://support.microsoft.com/en-us/outlook/create-modify-or-delete-a-meeting-request-or-appointment-in-outlook-on-the-web	https://support.microsoft.com/en-us/outlook/share-your-calendar-in-outlook-on-the-web
google_contacts	Google Contacts	contacts.google.com	email_calendar	5	Chrome UX Report 2026-08: contacts.google.com in the top 5,000 origins (github.com/zakird/crux-top-lists); Zapier app 'Google Contacts': popularity #53 of 9,716, zap_usage_count 12,275 (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 1 for google.com (list 38KVL, 2026-09-11; a domain shared across products, so not used to rank this row)	https://contacts.google.com/	deep	https://support.google.com/contacts/	https://support.google.com/contacts/answer/30970?hl=en	https://support.google.com/contacts/answer/7199294?hl=en
proton_mail	Proton Mail	proton.me	email_calendar	6	Chrome UX Report 2026-08: account.proton.me in the top 50,000 origins (github.com/zakird/crux-top-lists); not listed on Zapier with a usage count (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 2,887 for proton.me (list 38KVL, 2026-09-11)	https://account.proton.me/login	deep	https://proton.me/support/mail	https://proton.me/support/create-a-free-email-account-address	https://proton.me/support/custom-domain
native_calendar	Calendar (macOS Calendar, with iCloud Calendar on the web)	icloud.com	email_calendar	7	founder-named (sonny-wave-7-features.md, Skills); Chrome UX Report 2026-08: www.icloud.com in the top 5,000 origins (github.com/zakird/crux-top-lists); not listed on Zapier with a usage count (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 51 for icloud.com (list 38KVL, 2026-09-11; a domain shared across products, so not used to rank this row). The founders named the macOS Calendar app; its web counterpart is iCloud Calendar at icloud.com/calendar, and Apple documents the Mac app's task flows.	https://www.icloud.com/calendar/	deep	https://support.apple.com/guide/calendar/welcome/mac	https://support.apple.com/guide/calendar/get-started-iclc0d84c7fa/16.0/mac/26	https://support.apple.com/guide/calendar/add-or-delete-calendars-icl1005/16.0/mac/26
zoho_mail	Zoho Mail	mail.zoho.com	email_calendar	8	Chrome UX Report 2026-08: mail.zoho.com in the top 50,000 origins (github.com/zakird/crux-top-lists); Zapier app 'Zoho Mail': popularity #176 of 9,716, zap_usage_count 1,712 (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 798 for zoho.com (list 38KVL, 2026-09-11; a domain shared across products, so not used to rank this row)	https://mail.zoho.com/	deep	https://www.zoho.com/mail/help/	https://www.zoho.com/mail/help/incoming-filters.html	https://www.zoho.com/mail/help/adminconsole/user-settings.html
titan_email	Titan Email	titan.email	email_calendar	9	Chrome UX Report 2026-08: secureserver.titan.email in the top 50,000 origins (github.com/zakird/crux-top-lists); not listed on Zapier with a usage count (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 7,572 for titan.email (list 38KVL, 2026-09-11)	https://app.titan.email/login/	deep	https://support.titan.email/hc/en-us	https://support.titan.email/hc/en-us/articles/360036853934-Setup-Titan-for-your-domain	https://support.titan.email/hc/en-us/articles/360038203674-Create-email-accounts-via-Email-Control-Panel
fastmail	Fastmail	fastmail.com	email_calendar	10	Chrome UX Report 2026-08: app.fastmail.com in the top 500,000 origins (github.com/zakird/crux-top-lists); not listed on Zapier with a usage count (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 12,106 for fastmail.com (list 38KVL, 2026-09-11)	https://app.fastmail.com/login	deep	https://www.fastmail.help/hc/en-us	https://www.fastmail.help/hc/en-us/articles/360058752594-Managing-users-as-an-admin	https://www.fastmail.help/hc/en-us/articles/360058752374-Using-two-step-verification-2FA
hey	HEY	hey.com	email_calendar	11	Chrome UX Report 2026-08: app.hey.com in the top 1,000,000 origins (github.com/zakird/crux-top-lists); not listed on Zapier with a usage count (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 20,961 for hey.com (list 38KVL, 2026-09-11)	https://app.hey.com/sign_in	deep	https://help.hey.com/	https://help.hey.com/article/735-moving-from-gmail	https://help.hey.com/article/748-how-do-i-sign-up-for-hey
zoho_calendar	Zoho Calendar	calendar.zoho.com	email_calendar	12	Chrome UX Report 2026-08: calendar.zoho.com in the top 500,000 origins (github.com/zakird/crux-top-lists); Zapier app 'Zoho Calendar': popularity #590 of 9,716, zap_usage_count 263 (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 798 for zoho.com (list 38KVL, 2026-09-11; a domain shared across products, so not used to rank this row)	https://accounts.zoho.com/signin?servicename=ZohoCalendar	shallow			
morgen	Morgen	morgen.so	email_calendar	13	Chrome UX Report 2026-08: no matching origin in the top 1,000,000; Zapier app 'Morgen': popularity #1188 of 9,716, zap_usage_count 80 (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 128,654 for morgen.so (list 38KVL, 2026-09-11)	https://web.morgen.so/?loginHint=login	deep	https://www.morgen.so/guides	https://www.morgen.so/guides/outlook-shared-calendars-in-morgen	https://www.morgen.so/guides/how-to-reschedule-tasks-in-morgen
notion_calendar	Notion Calendar	calendar.notion.so	email_calendar	14	Chrome UX Report 2026-08: calendar.notion.so in the top 500,000 origins (github.com/zakird/crux-top-lists); not listed on Zapier with a usage count (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 2,122 for notion.so (list 38KVL, 2026-09-11; a domain shared across products, so not used to rank this row)	https://calendar.notion.so/login	deep	https://www.notion.com/help/category/notion-calendar	https://www.notion.com/help/use-notion-calendar-with-notion	https://www.notion.com/help/manage-your-calendars-and-events
googlesheets	Google Sheets	sheets.google.com	documents_storage	1	founder-named (sonny-wave-7-features.md, Skills); Chrome UX Report 2026-08: docs.google.com in the top 1,000 origins (github.com/zakird/crux-top-lists); Zapier app 'Google Sheets': popularity #1 of 9,716, zap_usage_count 269,004 (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 1 for google.com (list 38KVL, 2026-09-11; a domain shared across products, so not used to rank this row)	https://docs.google.com/spreadsheets/	deep	https://support.google.com/docs/	https://support.google.com/docs/answer/9331169?hl=en	https://support.google.com/docs/answer/63824?hl=en&co=GENIE.Platform%3DDesktop
